,date,Marlborough,lagged
0,1992-01-31,94000.00000000012,
1,1992-02-29,104000.00000000012,94000.00000000012
2,1992-03-31,96000.0,104000.00000000012
3,1992-04-30,96000.0,96000.0
4,1992-05-31,97500.00000000012,96000.0
5,1992-06-30,94000.00000000012,97500.00000000012
6,1992-07-31,103000.00000000012,94000.00000000012
7,1992-08-31,95000.00000000012,103000.00000000012
8,1992-09-30,108000.0,95000.00000000012
9,1992-10-31,102000.00000000012,108000.0
10,1992-11-30,92500.0,102000.00000000012
11,1992-12-31,105000.0,92500.0
12,1993-01-31,106500.00000000012,105000.0
13,1993-02-28,97000.0,106500.00000000012
14,1993-03-31,112000.00000000012,97000.0
15,1993-04-30,106000.0,112000.00000000012
16,1993-05-31,101000.00000000012,106000.0
17,1993-06-30,100000.0,101000.00000000012
18,1993-07-31,105000.0,100000.0
19,1993-08-31,108000.0,105000.0
20,1993-09-30,109000.0,108000.0
21,1993-10-31,111000.00000000012,109000.0
22,1993-11-30,112000.00000000012,111000.00000000012
23,1993-12-31,114000.0,112000.00000000012
24,1994-01-31,110000.00000000012,114000.0
25,1994-02-28,120000.00000000012,110000.00000000012
26,1994-03-31,112000.00000000012,120000.00000000012
27,1994-04-30,119000.00000000012,112000.00000000012
28,1994-05-31,115000.0,119000.00000000012
29,1994-06-30,118000.00000000012,115000.0
30,1994-07-31,118000.00000000012,118000.00000000012
31,1994-08-31,120000.00000000012,118000.00000000012
32,1994-09-30,120000.00000000012,120000.00000000012
33,1994-10-31,135000.00000000012,120000.00000000012
34,1994-11-30,124000.0,135000.00000000012
35,1994-12-31,118000.00000000012,124000.0
36,1995-01-31,115000.0,118000.00000000012
37,1995-02-28,125000.0,115000.0
38,1995-03-31,127500.0,125000.0
39,1995-04-30,126000.00000000012,127500.0
40,1995-05-31,134000.0,126000.00000000012
41,1995-06-30,116000.0,134000.0
42,1995-07-31,122000.0,116000.0
43,1995-08-31,115000.0,122000.0
44,1995-09-30,113000.00000000012,115000.0
45,1995-10-31,123500.00000000012,113000.00000000012
46,1995-11-30,117000.0,123500.00000000012
47,1995-12-31,130000.0,117000.0
48,1996-01-31,137500.0,130000.0
49,1996-02-29,130000.0,137500.0
50,1996-03-31,119000.00000000012,130000.0
51,1996-04-30,133000.0,119000.00000000012
52,1996-05-31,130000.0,133000.0
53,1996-06-30,124500.00000000012,130000.0
54,1996-07-31,127500.0,124500.00000000012
55,1996-08-31,125000.0,127500.0
56,1996-09-30,134000.0,125000.0
57,1996-10-31,128500.0,134000.0
58,1996-11-30,124000.0,128500.0
59,1996-12-31,115000.0,124000.0
60,1997-01-31,120000.00000000012,115000.0
61,1997-02-28,115000.0,120000.00000000012
62,1997-03-31,133500.0,115000.0
63,1997-04-30,124000.0,133500.0
64,1997-05-31,130000.0,124000.0
65,1997-06-30,129000.00000000012,130000.0
66,1997-07-31,118000.00000000012,129000.00000000012
67,1997-08-31,135000.00000000012,118000.00000000012
68,1997-09-30,145000.00000000012,135000.00000000012
69,1997-10-31,125000.0,145000.00000000012
70,1997-11-30,126500.0,125000.0
71,1997-12-31,145000.00000000012,126500.0
72,1998-01-31,117000.0,145000.00000000012
73,1998-02-28,130000.0,117000.0
74,1998-03-31,136000.00000000012,130000.0
75,1998-04-30,125000.0,136000.00000000012
76,1998-05-31,138000.00000000012,125000.0
77,1998-06-30,132000.0,138000.00000000012
78,1998-07-31,133500.0,132000.0
79,1998-08-31,123000.0,133500.0
80,1998-09-30,130000.0,123000.0
81,1998-10-31,143000.00000000012,130000.0
82,1998-11-30,125000.0,143000.00000000012
83,1998-12-31,132500.00000000012,125000.0
84,1999-01-31,137000.00000000012,132500.00000000012
85,1999-02-28,129000.00000000012,137000.00000000012
86,1999-03-31,128000.00000000012,129000.00000000012
87,1999-04-30,127000.00000000012,128000.00000000012
88,1999-05-31,128000.00000000012,127000.00000000012
89,1999-06-30,126500.0,128000.00000000012
90,1999-07-31,135500.0,126500.0
91,1999-08-31,137000.00000000012,135500.0
92,1999-09-30,127500.0,137000.00000000012
93,1999-10-31,140000.0,127500.0
94,1999-11-30,125000.0,140000.0
95,1999-12-31,134000.0,125000.0
96,2000-01-31,133000.0,134000.0
97,2000-02-29,125000.0,133000.0
98,2000-03-31,131000.0,125000.0
99,2000-04-30,130000.0,131000.0
100,2000-05-31,131000.0,130000.0
101,2000-06-30,140000.0,131000.0
102,2000-07-31,150000.0,140000.0
103,2000-08-31,125000.0,150000.0
104,2000-09-30,119000.00000000012,125000.0
105,2000-10-31,135000.00000000012,119000.00000000012
106,2000-11-30,147100.0,135000.00000000012
107,2000-12-31,145000.00000000012,147100.0
108,2001-01-31,137500.0,145000.00000000012
109,2001-02-28,135000.00000000012,137500.0
110,2001-03-31,139000.0,135000.00000000012
111,2001-04-30,132000.0,139000.0
112,2001-05-31,142500.0,132000.0
113,2001-06-30,144000.00000000012,142500.0
114,2001-07-31,130000.0,144000.00000000012
115,2001-08-31,128000.00000000012,130000.0
116,2001-09-30,126583.00000000012,128000.00000000012
117,2001-10-31,130000.0,126583.00000000012
118,2001-11-30,133200.0,130000.0
119,2001-12-31,126000.00000000012,133200.0
120,2002-01-31,144000.00000000012,126000.00000000012
121,2002-02-28,122000.0,144000.00000000012
122,2002-03-31,140000.0,122000.0
123,2002-04-30,139000.0,140000.0
124,2002-05-31,134000.0,139000.0
125,2002-06-30,139000.0,134000.0
126,2002-07-31,130000.0,139000.0
127,2002-08-31,137000.00000000012,130000.0
128,2002-09-30,135000.00000000012,137000.00000000012
129,2002-10-31,135000.00000000012,135000.00000000012
130,2002-11-30,145000.00000000012,135000.00000000012
131,2002-12-31,145000.00000000012,145000.00000000012
132,2003-01-31,160000.00000000012,145000.00000000012
133,2003-02-28,143000.00000000012,160000.00000000012
134,2003-03-31,158000.0,143000.00000000012
135,2003-04-30,168000.00000000012,158000.0
136,2003-05-31,171200.00000000012,168000.00000000012
137,2003-06-30,185000.0000000001,171200.00000000012
138,2003-07-31,180000.0,185000.0000000001
139,2003-08-31,210000.0000000001,180000.0
140,2003-09-30,190000.0,210000.0000000001
141,2003-10-31,209500.0000000001,190000.0
142,2003-11-30,200000.0,209500.0000000001
143,2003-12-31,240000.0,200000.0
144,2004-01-31,230000.0,240000.0
145,2004-02-29,230000.0,230000.0
146,2004-03-31,262000.0000000001,230000.0
147,2004-04-30,220000.0000000001,262000.0000000001
148,2004-05-31,235000.0000000001,220000.0000000001
149,2004-06-30,247000.0000000001,235000.0000000001
150,2004-07-31,220000.0000000001,247000.0000000001
151,2004-08-31,236000.0000000001,220000.0000000001
152,2004-09-30,226000.0000000001,236000.0000000001
153,2004-10-31,232500.0000000001,226000.0000000001
154,2004-11-30,257000.0,232500.0000000001
155,2004-12-31,245000.0000000001,257000.0
156,2005-01-31,237500.0,245000.0000000001
157,2005-02-28,242000.0,237500.0
158,2005-03-31,240000.0,242000.0
159,2005-04-30,240000.0,240000.0
160,2005-05-31,230000.0,240000.0
161,2005-06-30,245000.0000000001,230000.0
162,2005-07-31,262000.0000000001,245000.0000000001
163,2005-08-31,242500.0,262000.0000000001
164,2005-09-30,247000.0000000001,242500.0
165,2005-10-31,250000.0,247000.0000000001
166,2005-11-30,248000.0,250000.0
167,2005-12-31,270000.0000000001,248000.0
168,2006-01-31,280000.0,270000.0000000001
169,2006-02-28,266500.0,280000.0
170,2006-03-31,256000.0,266500.0
171,2006-04-30,260000.0000000001,256000.0
172,2006-05-31,260000.0000000001,260000.0000000001
173,2006-06-30,270000.0000000001,260000.0000000001
174,2006-07-31,280000.0,270000.0000000001
175,2006-08-31,275000.0,280000.0
176,2006-09-30,315000.0,275000.0
177,2006-10-31,290000.0,315000.0
178,2006-11-30,318000.00000000006,290000.0
179,2006-12-31,296000.00000000006,318000.00000000006
180,2007-01-31,288500.0000000001,296000.00000000006
181,2007-02-28,290000.0,288500.0000000001
182,2007-03-31,327000.00000000006,290000.0
183,2007-04-30,327000.00000000006,327000.00000000006
184,2007-05-31,320000.0000000001,327000.00000000006
185,2007-06-30,341000.00000000006,320000.0000000001
186,2007-07-31,320000.0000000001,341000.00000000006
187,2007-08-31,315000.0,320000.0000000001
188,2007-09-30,333000.00000000006,315000.0
189,2007-10-31,337000.00000000006,333000.00000000006
190,2007-11-30,330000.00000000006,337000.00000000006
191,2007-12-31,356000.00000000006,330000.00000000006
192,2008-01-31,330000.00000000006,356000.00000000006
193,2008-02-29,345000.0,330000.00000000006
194,2008-03-31,313500.00000000006,345000.0
195,2008-04-30,328500.00000000006,313500.00000000006
196,2008-05-31,341500.00000000006,328500.00000000006
197,2008-06-30,315000.0,341500.00000000006
198,2008-07-31,340000.0000000001,315000.0
199,2008-08-31,310000.00000000006,340000.0000000001
200,2008-09-30,296000.00000000006,310000.00000000006
201,2008-10-31,325000.00000000006,296000.00000000006
202,2008-11-30,350000.00000000006,325000.00000000006
203,2008-12-31,300000.00000000006,350000.00000000006
204,2009-01-31,287500.0,300000.00000000006
205,2009-02-28,312500.00000000006,287500.0
206,2009-03-31,310000.00000000006,312500.00000000006
207,2009-04-30,295000.0000000001,310000.00000000006
208,2009-05-31,300000.00000000006,295000.0000000001
209,2009-06-30,282000.0,300000.00000000006
210,2009-07-31,300000.00000000006,282000.0
211,2009-08-31,300000.00000000006,300000.00000000006
212,2009-09-30,315000.0,300000.00000000006
213,2009-10-31,275500.0,315000.0
214,2009-11-30,305000.00000000006,275500.0
215,2009-12-31,285000.0000000001,305000.00000000006
216,2010-01-31,340500.0,285000.0000000001
217,2010-02-28,295000.0000000001,340500.0
218,2010-03-31,305167.0000000001,295000.0000000001
219,2010-04-30,295000.0000000001,305167.0000000001
220,2010-05-31,310000.00000000006,295000.0000000001
221,2010-06-30,290000.0,310000.00000000006
222,2010-07-31,305000.00000000006,290000.0
223,2010-08-31,280000.0,305000.00000000006
224,2010-09-30,320000.0000000001,280000.0
225,2010-10-31,266500.0,320000.0000000001
226,2010-11-30,282000.0,266500.0
227,2010-12-31,290000.0,282000.0
228,2011-01-31,272500.0000000001,290000.0
229,2011-02-28,270000.0000000001,272500.0000000001
230,2011-03-31,262000.0000000001,270000.0000000001
231,2011-04-30,333000.00000000006,262000.0000000001
232,2011-05-31,302750.00000000006,333000.00000000006
233,2011-06-30,285000.0000000001,302750.00000000006
234,2011-07-31,290000.0,285000.0000000001
235,2011-08-31,290000.0,290000.0
236,2011-09-30,302500.0,290000.0
237,2011-10-31,325000.00000000006,302500.0
238,2011-11-30,272000.0000000001,325000.00000000006
239,2011-12-31,325000.00000000006,272000.0000000001
240,2012-01-31,249000.0,325000.00000000006
241,2012-02-29,298500.0000000001,249000.0
242,2012-03-31,305000.00000000006,298500.0000000001
243,2012-04-30,310000.00000000006,305000.00000000006
244,2012-05-31,311000.0000000001,310000.00000000006
245,2012-06-30,285000.0000000001,311000.0000000001
246,2012-07-31,266000.0,285000.0000000001
247,2012-08-31,285000.0000000001,266000.0
248,2012-09-30,297500.00000000006,285000.0000000001
249,2012-10-31,285000.0000000001,297500.00000000006
250,2012-11-30,297000.00000000006,285000.0000000001
251,2012-12-31,325000.00000000006,297000.00000000006
252,2013-01-31,299250.00000000006,325000.00000000006
253,2013-02-28,297000.00000000006,299250.00000000006
254,2013-03-31,305000.00000000006,297000.00000000006
255,2013-04-30,312000.0000000001,305000.00000000006
256,2013-05-31,288000.0,312000.0000000001
257,2013-06-30,285000.0000000001,288000.0
258,2013-07-31,293000.00000000006,285000.0000000001
259,2013-08-31,272000.0000000001,293000.00000000006
260,2013-09-30,305000.00000000006,272000.0000000001
261,2013-10-31,310000.00000000006,305000.00000000006
262,2013-11-30,285000.0000000001,310000.00000000006
263,2013-12-31,310000.00000000006,285000.0000000001
264,2014-01-31,347500.00000000006,310000.00000000006
265,2014-02-28,297000.00000000006,347500.00000000006
266,2014-03-31,299000.0,297000.00000000006
267,2014-04-30,337500.00000000006,299000.0
268,2014-05-31,308000.00000000006,337500.00000000006
269,2014-06-30,300000.00000000006,308000.00000000006
270,2014-07-31,326000.00000000006,300000.00000000006
271,2014-08-31,320000.0000000001,326000.00000000006
272,2014-09-30,297000.00000000006,320000.0000000001
273,2014-10-31,338000.00000000006,297000.00000000006
274,2014-11-30,307500.0000000001,338000.00000000006
275,2014-12-31,305000.00000000006,307500.0000000001
276,2015-01-31,310000.00000000006,305000.00000000006
277,2015-02-28,325000.00000000006,310000.00000000006
278,2015-03-31,318000.00000000006,325000.00000000006
279,2015-04-30,315000.0,318000.00000000006
280,2015-05-31,288000.0,315000.0
281,2015-06-30,297000.00000000006,288000.0
282,2015-07-31,332500.0,297000.00000000006
283,2015-08-31,320000.0000000001,332500.0
284,2015-09-30,307000.0,320000.0000000001
285,2015-10-31,339000.00000000006,307000.0
286,2015-11-30,329000.00000000006,339000.00000000006
287,2015-12-31,343000.00000000006,329000.00000000006
288,2016-01-31,342000.00000000006,343000.00000000006
289,2016-02-29,342000.00000000006,342000.00000000006
290,2016-03-31,360000.00000000006,342000.00000000006
291,2016-04-30,325000.00000000006,360000.00000000006
292,2016-05-31,355000.00000000006,325000.00000000006
293,2016-06-30,350000.00000000006,355000.00000000006
294,2016-07-31,340500.0,350000.00000000006
295,2016-08-31,360000.00000000006,340500.0
296,2016-09-30,369200.00000000006,360000.00000000006
297,2016-10-31,360000.00000000006,369200.00000000006
298,2016-11-30,400000.00000000006,360000.00000000006
299,2016-12-31,380000.00000000006,400000.00000000006
300,2017-01-31,390000.0000000001,380000.00000000006
301,2017-02-28,395000.0,390000.0000000001
302,2017-03-31,380000.00000000006,395000.0
303,2017-04-30,410000.00000000006,380000.00000000006
304,2017-05-31,405000.00000000006,410000.00000000006
305,2017-06-30,395000.0,405000.00000000006
306,2017-07-31,400000.00000000006,395000.0
307,2017-08-31,420000.0,400000.00000000006
308,2017-09-30,395000.0,420000.0
309,2017-10-31,420000.0,395000.0
310,2017-11-30,437000.00000000006,420000.0
311,2017-12-31,372000.00000000006,437000.00000000006
312,2018-01-31,410000.00000000006,372000.00000000006
313,2018-02-28,416500.00000000006,410000.00000000006
314,2018-03-31,404000.00000000006,416500.00000000006
315,2018-04-30,420000.0,404000.00000000006
316,2018-05-31,425000.00000000006,420000.0
317,2018-06-30,440000.0000000001,425000.00000000006
318,2018-07-31,460000.00000000006,440000.0000000001
319,2018-08-31,440000.0000000001,460000.00000000006
320,2018-09-30,418000.00000000006,440000.0000000001
321,2018-10-31,382500.0,418000.00000000006
322,2018-11-30,450000.00000000006,382500.0
323,2018-12-31,430000.00000000006,450000.00000000006
324,2019-01-31,465000.0000000001,430000.00000000006
325,2019-02-28,438500.00000000006,465000.0000000001
326,2019-03-31,458000.00000000006,438500.00000000006
327,2019-04-30,427500.0000000001,458000.00000000006
328,2019-05-31,420000.0,427500.0000000001
329,2019-06-30,435000.00000000006,420000.0
330,2019-07-31,432500.0,435000.00000000006
331,2019-08-31,435000.00000000006,432500.0
332,2019-09-30,464098.00000000006,435000.00000000006
333,2019-10-31,445500.00000000006,464098.00000000006
334,2019-11-30,490000.0000000001,445500.00000000006
335,2019-12-31,480000.00000000006,490000.0000000001
336,2020-01-31,480000.00000000006,480000.00000000006
337,2020-02-29,531250.0,480000.00000000006
338,2020-03-31,520000.0,531250.0
339,2020-04-30,460000.00000000006,520000.0
340,2020-05-31,490000.0000000001,460000.00000000006
341,2020-06-30,452000.00000000006,490000.0000000001
342,2020-07-31,475000.00000000006,452000.00000000006
343,2020-08-31,492500.00000000006,475000.00000000006
344,2020-09-30,530000.0,492500.00000000006
345,2020-10-31,565000.0000000001,530000.0
346,2020-11-30,590000.0000000001,565000.0000000001
347,2020-12-31,571000.0,590000.0000000001
348,2021-01-31,550000.0,571000.0
349,2021-02-28,615500.0000000001,550000.0
350,2021-03-31,664000.0000000001,615500.0000000001
351,2021-04-30,672000.0000000001,664000.0000000001
352,2021-05-31,650000.0,672000.0000000001
353,2021-06-30,706249.0000000001,650000.0
354,2021-07-31,672000.0000000001,706249.0000000001
355,2021-08-31,585000.0000000001,672000.0000000001
356,2021-09-30,650000.0,585000.0000000001
357,2021-10-31,647000.0000000001,650000.0
358,2021-11-30,705000.0000000001,647000.0000000001
359,2021-12-31,700000.0,705000.0000000001
360,2022-01-31,700000.0,700000.0
361,2022-02-28,655500.0,700000.0
362,2022-03-31,660000.0000000001,655500.0
363,2022-04-30,764000.0000000001,660000.0000000001
364,2022-05-31,681500.0000000001,764000.0000000001
365,2022-06-30,720250.0000000001,681500.0000000001
366,2022-07-31,675000.0,720250.0000000001
367,2022-08-31,670000.0000000001,675000.0
368,2022-09-30,590000.0000000001,670000.0000000001
369,2022-10-31,781000.0,590000.0000000001
370,2022-11-30,700000.0,781000.0
371,2022-12-31,710000.0000000001,700000.0
372,2023-01-31,650000.0,710000.0000000001
373,2023-02-28,685000.0000000001,650000.0
374,2023-03-31,660000.0000000001,685000.0000000001
375,2023-04-30,617500.0,660000.0000000001
376,2023-05-31,650000.0,617500.0
377,2023-06-30,645000.0000000001,650000.0
378,2023-07-31,677000.0000000001,645000.0000000001
379,2023-08-31,650000.0,677000.0000000001
380,2023-09-30,740000.0,650000.0
381,2023-10-31,650000.0,740000.0
382,2023-11-30,670000.0000000001,650000.0
383,2023-12-31,635000.0000000001,670000.0000000001
384,2024-01-31,666250.0000000001,635000.0000000001
385,2024-02-29,680000.0000000001,666250.0000000001
386,2024-03-31,648000.0,680000.0000000001
387,2024-04-30,700000.0,648000.0
388,2024-05-31,685000.0000000001,700000.0
389,2024-06-30,620000.0000000001,685000.0000000001
390,2024-07-31,580000.0,620000.0000000001
391,2024-08-31,625000.0,580000.0
