,date,Taranaki,lagged
0,1992-01-31,80998.27882960415,
1,1992-02-29,80998.27882960415,80998.27882960415
2,1992-03-31,83993.11531841662,80998.27882960415
3,1992-04-30,85989.67297762481,83993.11531841662
4,1992-05-31,80000.0,85989.67297762481
5,1992-06-30,82994.83648881246,80000.0
6,1992-07-31,85989.67297762481,82994.83648881246
7,1992-08-31,85989.67297762481,85989.67297762481
8,1992-09-30,89982.78829604131,85989.67297762481
9,1992-10-31,87986.230636833,89982.78829604131
10,1992-11-30,86987.95180722885,87986.230636833
11,1992-12-31,87986.230636833,86987.95180722885
12,1993-01-31,90981.06712564548,87986.230636833
13,1993-02-28,90981.06712564548,90981.06712564548
14,1993-03-31,90981.06712564548,90981.06712564548
15,1993-04-30,87986.230636833,90981.06712564548
16,1993-05-31,90981.06712564548,87986.230636833
17,1993-06-30,86488.81239242689,90981.06712564548
18,1993-07-31,94974.18244406195,86488.81239242689
19,1993-08-31,90981.06712564548,94974.18244406195
20,1993-09-30,92478.48537005158,90981.06712564548
21,1993-10-31,92977.62478485378,92478.48537005158
22,1993-11-30,90981.06712564548,92977.62478485378
23,1993-12-31,94974.18244406195,90981.06712564548
24,1994-01-31,96970.74010327016,94974.18244406195
25,1994-02-28,92977.62478485378,96970.74010327016
26,1994-03-31,95972.46127366612,92977.62478485378
27,1994-04-30,90981.06712564548,95972.46127366612
28,1994-05-31,92977.62478485378,90981.06712564548
29,1994-06-30,100963.85542168666,92977.62478485378
30,1994-07-31,88984.50946643727,100963.85542168666
31,1994-08-31,99965.5765920825,88984.50946643727
32,1994-09-30,100464.7160068847,99965.5765920825
33,1994-10-31,100963.85542168666,100464.7160068847
34,1994-11-30,92977.62478485378,100963.85542168666
35,1994-12-31,106953.52839931149,92977.62478485378
36,1995-01-31,96970.74010327016,106953.52839931149
37,1995-02-28,97969.01893287445,96970.74010327016
38,1995-03-31,100963.85542168666,97969.01893287445
39,1995-04-30,95972.46127366612,100963.85542168666
40,1995-05-31,95972.46127366612,95972.46127366612
41,1995-06-30,97969.01893287445,95972.46127366612
42,1995-07-31,95972.46127366612,97969.01893287445
43,1995-08-31,95972.46127366612,95972.46127366612
44,1995-09-30,98468.15834767652,95972.46127366612
45,1995-10-31,92977.62478485378,98468.15834767652
46,1995-11-30,93975.9036144578,92977.62478485378
47,1995-12-31,113941.48020654032,93975.9036144578
48,1996-01-31,98967.29776247848,113941.48020654032
49,1996-02-29,100963.85542168666,98967.29776247848
50,1996-03-31,95972.46127366612,100963.85542168666
51,1996-04-30,104956.97074010328,95972.46127366612
52,1996-05-31,95972.46127366612,104956.97074010328
53,1996-06-30,95972.46127366612,95972.46127366612
54,1996-07-31,97969.01893287445,95972.46127366612
55,1996-08-31,107951.80722891564,97969.01893287445
56,1996-09-30,95972.46127366612,107951.80722891564
57,1996-10-31,96970.74010327016,95972.46127366612
58,1996-11-30,110946.64371772807,96970.74010327016
59,1996-12-31,105955.24956970743,110946.64371772807
60,1997-01-31,96970.74010327016,105955.24956970743
61,1997-02-28,98967.29776247848,96970.74010327016
62,1997-03-31,94974.18244406195,98967.29776247848
63,1997-04-30,97969.01893287445,94974.18244406195
64,1997-05-31,98967.29776247848,97969.01893287445
65,1997-06-30,100963.85542168666,98967.29776247848
66,1997-07-31,95972.46127366612,100963.85542168666
67,1997-08-31,96970.74010327016,95972.46127366612
68,1997-09-30,105955.24956970743,96970.74010327016
69,1997-10-31,96571.42857142864,105955.24956970743
70,1997-11-30,104358.00344234076,96571.42857142864
71,1997-12-31,110946.64371772807,104358.00344234076
72,1998-01-31,100963.85542168666,110946.64371772807
73,1998-02-28,99965.5765920825,100963.85542168666
74,1998-03-31,103958.69191049912,99965.5765920825
75,1998-04-30,107951.80722891564,103958.69191049912
76,1998-05-31,95972.46127366612,107951.80722891564
77,1998-06-30,100963.85542168666,95972.46127366612
78,1998-07-31,94475.04302925988,100963.85542168666
79,1998-08-31,95074.01032702252,94475.04302925988
80,1998-09-30,93476.76419965574,95074.01032702252
81,1998-10-31,95972.46127366612,93476.76419965574
82,1998-11-30,95972.46127366612,95972.46127366612
83,1998-12-31,99466.43717728056,95972.46127366612
84,1999-01-31,98967.29776247848,99466.43717728056
85,1999-02-28,107951.80722891564,98967.29776247848
86,1999-03-31,100963.85542168666,107951.80722891564
87,1999-04-30,97969.01893287445,100963.85542168666
88,1999-05-31,96970.74010327016,97969.01893287445
89,1999-06-30,98967.29776247848,96970.74010327016
90,1999-07-31,94475.04302925988,98967.29776247848
91,1999-08-31,95972.46127366612,94475.04302925988
92,1999-09-30,94974.18244406195,95972.46127366612
93,1999-10-31,94974.18244406195,94974.18244406195
94,1999-11-30,105955.24956970743,94974.18244406195
95,1999-12-31,102960.41308089509,105955.24956970743
96,2000-01-31,93476.76419965574,102960.41308089509
97,2000-02-29,114440.61962134251,93476.76419965574
98,2000-03-31,113442.34079173836,114440.61962134251
99,2000-04-30,108950.08605851978,113442.34079173836
100,2000-05-31,94974.18244406195,108950.08605851978
101,2000-06-30,120929.4320137694,94974.18244406195
102,2000-07-31,100963.85542168666,120929.4320137694
103,2000-08-31,94974.18244406195,100963.85542168666
104,2000-09-30,94974.18244406195,94974.18244406195
105,2000-10-31,100963.85542168666,94974.18244406195
106,2000-11-30,107951.80722891564,100963.85542168666
107,2000-12-31,97969.01893287445,107951.80722891564
108,2001-01-31,105955.24956970743,97969.01893287445
109,2001-02-28,100963.85542168666,105955.24956970743
110,2001-03-31,105955.24956970743,100963.85542168666
111,2001-04-30,106953.52839931149,105955.24956970743
112,2001-05-31,100963.85542168666,106953.52839931149
113,2001-06-30,92977.62478485378,100963.85542168666
114,2001-07-31,98967.29776247848,92977.62478485378
115,2001-08-31,95972.46127366612,98967.29776247848
116,2001-09-30,105955.24956970743,95972.46127366612
117,2001-10-31,102960.41308089509,105955.24956970743
118,2001-11-30,113442.34079173836,102960.41308089509
119,2001-12-31,108950.08605851978,113442.34079173836
120,2002-01-31,100963.85542168666,108950.08605851978
121,2002-02-28,106953.52839931149,100963.85542168666
122,2002-03-31,115938.03786574876,106953.52839931149
123,2002-04-30,105955.24956970743,115938.03786574876
124,2002-05-31,110946.64371772807,105955.24956970743
125,2002-06-30,111944.92254733224,110946.64371772807
126,2002-07-31,113442.34079173836,111944.92254733224
127,2002-08-31,110946.64371772807,113442.34079173836
128,2002-09-30,106953.52839931149,110946.64371772807
129,2002-10-31,110447.504302926,106953.52839931149
130,2002-11-30,115938.03786574876,110447.504302926
131,2002-12-31,113941.48020654032,115938.03786574876
132,2003-01-31,107951.80722891564,113941.48020654032
133,2003-02-28,122925.9896729776,107951.80722891564
134,2003-03-31,125920.82616179006,122925.9896729776
135,2003-04-30,116936.3166953529,125920.82616179006
136,2003-05-31,120430.29259896732,116936.3166953529
137,2003-06-30,125920.82616179006,120430.29259896732
138,2003-07-31,128915.6626506024,125920.82616179006
139,2003-08-31,119432.01376936316,128915.6626506024
140,2003-09-30,116936.3166953529,119432.01376936316
141,2003-10-31,133907.05679862318,116936.3166953529
142,2003-11-30,140895.00860585208,133907.05679862318
143,2003-12-31,135903.6144578313,140895.00860585208
144,2004-01-31,139896.72977624787,135903.6144578313
145,2004-02-29,146884.68158347683,139896.72977624787
146,2004-03-31,150903.75215146295,146884.68158347683
147,2004-04-30,140895.00860585208,150903.75215146295
148,2004-05-31,147882.960413081,140895.00860585208
149,2004-06-30,148881.23924268503,147882.960413081
150,2004-07-31,180826.1617900172,148881.23924268503
151,2004-08-31,160860.58519793465,180826.1617900172
152,2004-09-30,156867.46987951803,160860.58519793465
153,2004-10-31,160860.58519793465,156867.46987951803
154,2004-11-30,163855.42168674705,160860.58519793465
155,2004-12-31,180826.1617900172,163855.42168674705
156,2005-01-31,190808.95008605847,180826.1617900172
157,2005-02-28,193803.786574871,190808.95008605847
158,2005-03-31,220757.3149741825,193803.786574871
159,2005-04-30,160860.58519793465,220757.3149741825
160,2005-05-31,213270.22375215156,160860.58519793465
161,2005-06-30,210774.52667814115,213270.22375215156
162,2005-07-31,222753.8726333908,210774.52667814115
163,2005-08-31,220757.3149741825,222753.8726333908
164,2005-09-30,225748.70912220312,220757.3149741825
165,2005-10-31,210774.52667814115,225748.70912220312
166,2005-11-30,206781.4113597247,210774.52667814115
167,2005-12-31,227745.26678141145,206781.4113597247
168,2006-01-31,230740.10327022377,227745.26678141145
169,2006-02-28,245714.28571428568,230740.10327022377
170,2006-03-31,226746.98795180727,245714.28571428568
171,2006-04-30,240722.89156626508,226746.98795180727
172,2006-05-31,230740.10327022377,240722.89156626508
173,2006-06-30,231738.38209982787,230740.10327022377
174,2006-07-31,245714.28571428568,231738.38209982787
175,2006-08-31,239724.61273666093,245714.28571428568
176,2006-09-30,245714.28571428568,239724.61273666093
177,2006-10-31,253201.37693631672,245714.28571428568
178,2006-11-30,265679.8623063683,253201.37693631672
179,2006-12-31,265679.8623063683,265679.8623063683
180,2007-01-31,266678.1411359725,265679.8623063683
181,2007-02-28,265679.8623063683,266678.1411359725
182,2007-03-31,270671.256454389,265679.8623063683
183,2007-04-30,275662.6506024096,270671.256454389
184,2007-05-31,280654.0447504304,275662.6506024096
185,2007-06-30,266678.1411359725,280654.0447504304
186,2007-07-31,248709.12220309812,266678.1411359725
187,2007-08-31,259690.1893287436,248709.12220309812
188,2007-09-30,270671.256454389,259690.1893287436
189,2007-10-31,260688.46815834765,270671.256454389
190,2007-11-30,280654.0447504304,260688.46815834765
191,2007-12-31,255697.07401032705,280654.0447504304
192,2008-01-31,263683.3046471601,255697.07401032705
193,2008-02-29,260688.46815834765,263683.3046471601
194,2008-03-31,255697.07401032705,260688.46815834765
195,2008-04-30,273166.95352839935,255697.07401032705
196,2008-05-31,280654.0447504304,273166.95352839935
197,2008-06-30,255697.07401032705,280654.0447504304
198,2008-07-31,265679.8623063683,255697.07401032705
199,2008-08-31,250705.6798623064,265679.8623063683
200,2008-09-30,259440.6196213425,250705.6798623064
201,2008-10-31,275662.6506024096,259440.6196213425
202,2008-11-30,255697.07401032705,275662.6506024096
203,2008-12-31,265679.8623063683,255697.07401032705
204,2009-01-31,265679.8623063683,265679.8623063683
205,2009-02-28,258192.77108433735,265679.8623063683
206,2009-03-31,270671.256454389,258192.77108433735
207,2009-04-30,265679.8623063683,270671.256454389
208,2009-05-31,261686.74698795183,265679.8623063683
209,2009-06-30,270671.256454389,261686.74698795183
210,2009-07-31,280654.0447504304,270671.256454389
211,2009-08-31,285645.438898451,280654.0447504304
212,2009-09-30,283149.7418244406,285645.438898451
213,2009-10-31,273166.95352839935,283149.7418244406
214,2009-11-30,277659.2082616179,273166.95352839935
215,2009-12-31,283648.88123924274,277659.2082616179
216,2010-01-31,285645.438898451,283648.88123924274
217,2010-02-28,282650.6024096385,285645.438898451
218,2010-03-31,276660.92943201377,282650.6024096385
219,2010-04-30,280654.0447504304,276660.92943201377
220,2010-05-31,275662.6506024096,280654.0447504304
221,2010-06-30,285645.438898451,275662.6506024096
222,2010-07-31,290636.83304647164,285645.438898451
223,2010-08-31,266678.1411359725,290636.83304647164
224,2010-09-30,270671.256454389,266678.1411359725
225,2010-10-31,284647.16006884683,270671.256454389
226,2010-11-30,265679.8623063683,284647.16006884683
227,2010-12-31,261686.74698795183,265679.8623063683
228,2011-01-31,270671.256454389,261686.74698795183
229,2011-02-28,285645.438898451,270671.256454389
230,2011-03-31,270671.256454389,285645.438898451
231,2011-04-30,275662.6506024096,270671.256454389
232,2011-05-31,260438.89845094667,275662.6506024096
233,2011-06-30,250705.6798623064,260438.89845094667
234,2011-07-31,260688.46815834765,250705.6798623064
235,2011-08-31,270671.256454389,260688.46815834765
236,2011-09-30,270671.256454389,270671.256454389
237,2011-10-31,285645.438898451,270671.256454389
238,2011-11-30,270671.256454389,285645.438898451
239,2011-12-31,285645.438898451,270671.256454389
240,2012-01-31,305611.01549053355,285645.438898451
241,2012-02-29,270671.256454389,305611.01549053355
242,2012-03-31,275662.6506024096,270671.256454389
243,2012-04-30,251254.7332185887,275662.6506024096
244,2012-05-31,280654.0447504304,251254.7332185887
245,2012-06-30,279655.76592082623,280654.0447504304
246,2012-07-31,262685.025817556,279655.76592082623
247,2012-08-31,280154.90533562825,262685.025817556
248,2012-09-30,265679.8623063683,280154.90533562825
249,2012-10-31,258691.9104991394,265679.8623063683
250,2012-11-30,260688.46815834765,258691.9104991394
251,2012-12-31,276660.92943201377,260688.46815834765
252,2013-01-31,310602.40963855427,276660.92943201377
253,2013-02-28,282650.6024096385,310602.40963855427
254,2013-03-31,290636.83304647164,282650.6024096385
255,2013-04-30,289139.41480206547,290636.83304647164
256,2013-05-31,281652.3235800345,289139.41480206547
257,2013-06-30,280654.0447504304,281652.3235800345
258,2013-07-31,296626.5060240964,280654.0447504304
259,2013-08-31,285645.438898451,296626.5060240964
260,2013-09-30,285645.438898451,285645.438898451
261,2013-10-31,282650.6024096385,285645.438898451
262,2013-11-30,310602.40963855427,282650.6024096385
263,2013-12-31,328072.28915662656,310602.40963855427
264,2014-01-31,315593.80378657486,328072.28915662656
265,2014-02-28,295628.2271944923,315593.80378657486
266,2014-03-31,299122.2030981068,295628.2271944923
267,2014-04-30,305611.01549053355,299122.2030981068
268,2014-05-31,270671.256454389,305611.01549053355
269,2014-06-30,301118.760757315,270671.256454389
270,2014-07-31,310602.40963855427,301118.760757315
271,2014-08-31,280654.0447504304,310602.40963855427
272,2014-09-30,315593.80378657486,280654.0447504304
273,2014-10-31,280654.0447504304,315593.80378657486
274,2014-11-30,315593.80378657486,280654.0447504304
275,2014-12-31,308605.851979346,315593.80378657486
276,2015-01-31,316592.082616179,308605.851979346
277,2015-02-28,310602.40963855427,316592.082616179
278,2015-03-31,322581.75559380377,310602.40963855427
279,2015-04-30,290636.83304647164,322581.75559380377
280,2015-05-31,293132.530120482,290636.83304647164
281,2015-06-30,302117.0395869191,293132.530120482
282,2015-07-31,295628.2271944923,302117.0395869191
283,2015-08-31,285645.438898451,295628.2271944923
284,2015-09-30,305611.01549053355,285645.438898451
285,2015-10-31,310602.40963855427,305611.01549053355
286,2015-11-30,300619.6213425129,310602.40963855427
287,2015-12-31,310602.40963855427,300619.6213425129
288,2016-01-31,330567.98623063683,310602.40963855427
289,2016-02-29,328571.42857142864,330567.98623063683
290,2016-03-31,315593.80378657486,328571.42857142864
291,2016-04-30,334561.1015490534,315593.80378657486
292,2016-05-31,346540.4475043029,334561.1015490534
293,2016-06-30,313597.2461273666,346540.4475043029
294,2016-07-31,315593.80378657486,313597.2461273666
295,2016-08-31,298623.06368330464,315593.80378657486
296,2016-09-30,350533.5628227195,298623.06368330464
297,2016-10-31,310602.40963855427,350533.5628227195
298,2016-11-30,357521.5146299484,310602.40963855427
299,2016-12-31,350533.5628227195,357521.5146299484
300,2017-01-31,350533.5628227195,350533.5628227195
301,2017-02-28,335559.38037865754,350533.5628227195
302,2017-03-31,370499.1394148021,335559.38037865754
303,2017-04-30,345542.16867469886,370499.1394148021
304,2017-05-31,350533.5628227195,345542.16867469886
305,2017-06-30,335559.38037865754,350533.5628227195
306,2017-07-31,325576.59208261623,335559.38037865754
307,2017-08-31,329569.70740103273,325576.59208261623
308,2017-09-30,360516.3511187608,329569.70740103273
309,2017-10-31,350533.5628227195,360516.3511187608
310,2017-11-30,352530.12048192776,350533.5628227195
311,2017-12-31,350533.5628227195,352530.12048192776
312,2018-01-31,365507.7452667815,350533.5628227195
313,2018-02-28,347039.58691910503,365507.7452667815
314,2018-03-31,343545.6110154906,347039.58691910503
315,2018-04-30,365507.7452667815,343545.6110154906
316,2018-05-31,355524.9569707401,365507.7452667815
317,2018-06-30,345542.16867469886,355524.9569707401
318,2018-07-31,375490.53356282273,345542.16867469886
319,2018-08-31,340550.77452667814,375490.53356282273
320,2018-09-30,345542.16867469886,340550.77452667814
321,2018-10-31,392461.27366609295,345542.16867469886
322,2018-11-30,375490.53356282273,392461.27366609295
323,2018-12-31,378086.0585197935,375490.53356282273
324,2019-01-31,385473.321858864,378086.0585197935
325,2019-02-28,380481.9277108433,385473.321858864
326,2019-03-31,375490.53356282273,380481.9277108433
327,2019-04-30,380481.9277108433,375490.53356282273
328,2019-05-31,365507.7452667815,380481.9277108433
329,2019-06-30,375490.53356282273,365507.7452667815
330,2019-07-31,360516.3511187608,375490.53356282273
331,2019-08-31,391462.9948364888,360516.3511187608
332,2019-09-30,400447.504302926,391462.9948364888
333,2019-10-31,390464.7160068847,400447.504302926
334,2019-11-30,407934.59552495705,390464.7160068847
335,2019-12-31,418416.5232358003,407934.59552495705
336,2020-01-31,420413.08089500864,418416.5232358003
337,2020-02-29,412426.8502581756,420413.08089500864
338,2020-03-31,425903.61445783137,412426.8502581756
339,2020-04-30,380481.9277108433,425903.61445783137
340,2020-05-31,426402.7538726335,380481.9277108433
341,2020-06-30,410430.2925989673,426402.7538726335
342,2020-07-31,442874.3545611015,410430.2925989673
343,2020-08-31,452358.0034423409,442874.3545611015
344,2020-09-30,485301.2048192772,452358.0034423409
345,2020-10-31,480808.9500860586,485301.2048192772
346,2020-11-30,496282.2719449226,480808.9500860586
347,2020-12-31,500275.3872633391,496282.2719449226
348,2021-01-31,520240.9638554217,500275.3872633391
349,2021-02-28,520240.9638554217,520240.9638554217
350,2021-03-31,515249.569707401,520240.9638554217
351,2021-04-30,540206.5404475043,515249.569707401
352,2021-05-31,530223.7521514631,540206.5404475043
353,2021-06-30,576144.5783132531,530223.7521514631
354,2021-07-31,535215.1462994837,576144.5783132531
355,2021-08-31,565163.5111876075,535215.1462994837
356,2021-09-30,535215.1462994837,565163.5111876075
357,2021-10-31,630051.6351118761,535215.1462994837
358,2021-11-30,626158.34767642,630051.6351118761
359,2021-12-31,590120.4819277109,626158.34767642
360,2022-01-31,630051.6351118761,590120.4819277109
361,2022-02-28,660000.0,630051.6351118761
362,2022-03-31,650017.2117039588,660000.0
363,2022-04-30,625060.2409638554,650017.2117039588
364,2022-05-31,635043.0292598968,625060.2409638554
365,2022-06-30,575146.299483649,635043.0292598968
366,2022-07-31,620068.8468158349,575146.299483649
367,2022-08-31,645025.817555938,620068.8468158349
368,2022-09-30,630051.6351118761,645025.817555938
369,2022-10-31,580137.6936316695,630051.6351118761
370,2022-11-30,620068.8468158349,580137.6936316695
371,2022-12-31,620068.8468158349,620068.8468158349
372,2023-01-31,645025.817555938,620068.8468158349
373,2023-02-28,580137.6936316695,645025.817555938
374,2023-03-31,600103.2702237521,580137.6936316695
375,2023-04-30,566161.7900172117,600103.2702237521
376,2023-05-31,535215.1462994837,566161.7900172117
377,2023-06-30,570154.9053356283,535215.1462994837
378,2023-07-31,570154.9053356283,570154.9053356283
379,2023-08-31,560172.1170395869,570154.9053356283
380,2023-09-30,585129.0877796903,560172.1170395869
381,2023-10-31,565163.5111876075,585129.0877796903
382,2023-11-30,580137.6936316695,565163.5111876075
383,2023-12-31,640034.4234079174,580137.6936316695
384,2024-01-31,632048.1927710844,640034.4234079174
385,2024-02-29,610086.0585197934,632048.1927710844
386,2024-03-31,600103.2702237521,610086.0585197934
387,2024-04-30,622065.4044750431,600103.2702237521
388,2024-05-31,575146.299483649,622065.4044750431
389,2024-06-30,625060.2409638554,575146.299483649
390,2024-07-31,600103.2702237521,625060.2409638554
391,2024-08-31,580137.6936316695,600103.2702237521
