,date,Northland,lagged,house_sales,house_price_index,total_value_housing_stock,residential_investment_gdp
0,1992-03-31,93474.09152086126,100422.27456258412,18659.0,468.0,125000.0,1498
1,1992-06-30,93474.09152086126,93474.09152086126,18560.0,467.0,127000.0,1701
2,1992-09-30,93474.09152086126,97940.7806191116,18946.0,470.0,128000.0,1576
3,1992-12-31,111340.84791386269,93474.09152086126,18646.0,477.0,129000.0,1757
4,1993-03-31,96451.88425302808,100422.27456258412,19960.0,481.0,131000.0,1555
5,1993-06-30,94466.68909825035,105385.2624495288,20441.0,482.0,133000.0,1887
6,1993-09-30,108363.05518169572,94466.68909825035,23894.0,491.0,136000.0,1979
7,1993-12-31,102407.46971736196,100422.27456258412,25509.0,503.0,140000.0,2090
8,1994-03-31,109851.95154777926,105385.2624495288,29856.0,520.0,148000.0,1793
9,1994-06-30,102407.46971736196,114318.6406460296,27811.0,536.0,154000.0,2274
10,1994-09-30,103400.06729475084,110348.25033647356,26720.0,554.0,160000.0,2271
11,1994-12-31,115311.2382234186,113326.04306864052,24298.0,572.0,164000.0,2248
12,1995-03-31,105385.2624495288,115311.2382234186,23431.0,579.0,168000.0,2013
13,1995-06-30,130200.20188425283,113326.04306864052,24507.0,585.0,172000.0,2361
14,1995-09-30,117296.43337819644,111340.84791386269,26185.0,599.0,177000.0,2145
15,1995-12-31,105385.2624495288,115311.2382234186,27302.0,621.0,183000.0,2285
16,1996-03-31,122755.72005383576,117594.21265141317,34597.0,653.0,192000.0,2088
17,1996-06-30,120274.22611036326,122259.42126514122,25087.0,663.0,196000.0,2379
18,1996-09-30,125237.21399730803,117296.43337819644,22890.0,662.0,197000.0,2221
19,1996-12-31,125237.21399730803,132185.3970390308,26434.0,680.0,201000.0,2435
20,1997-03-31,134170.59219380887,133177.99461641978,29121.0,696.0,209000.0,2281
21,1997-06-30,140126.17765814252,144096.56796769856,27144.0,702.0,215000.0,2486
22,1997-09-30,145089.16554508742,145089.16554508742,25186.0,706.0,218000.0,2508
23,1997-12-31,153029.94616419903,149059.55585464323,24388.0,715.0,221000.0,2531
24,1998-03-31,155015.1413189771,146578.06191117095,21160.0,709.0,220000.0,2067
25,1998-06-30,149555.85464333778,159978.12920592178,18367.0,688.0,218000.0,2203
26,1998-09-30,142111.37281292048,162955.92193808872,20564.0,677.0,219000.0,2016
27,1998-12-31,144096.56796769856,158489.23283983837,24762.0,690.0,221000.0,2153
28,1999-03-31,155015.1413189771,147074.36069986527,26129.0,701.0,223000.0,1969
29,1999-06-30,155015.1413189771,157496.6352624494,24266.0,705.0,226000.0,2284
30,1999-09-30,157000.33647375496,146081.7631224763,23196.0,706.0,227000.0,2439
31,1999-12-31,149059.55585464323,148811.406460296,22033.0,705.0,227000.0,2525
32,2000-03-31,155015.1413189771,135163.18977119785,22891.0,705.0,229000.0,2706
33,2000-06-30,157992.93405114405,140126.17765814252,19733.0,698.0,229000.0,2298
34,2000-09-30,145089.16554508742,143103.97039030946,18448.0,697.0,232000.0,2386
35,2000-12-31,142111.37281292048,164941.1170928668,18372.0,697.0,232000.0,2099
36,2001-03-31,151541.04979811562,166926.31224764453,22740.0,701.0,236000.0,1848
37,2001-06-30,165437.41588156112,164941.1170928668,22584.0,700.0,238000.0,2082
38,2001-09-30,140126.17765814252,159978.12920592178,22433.0,706.0,241000.0,2109
39,2001-12-31,173378.19650067296,162955.92193808872,26407.0,718.0,246000.0,2539
40,2002-03-31,179830.08075370104,162955.92193808872,32147.0,737.0,255000.0,2085
41,2002-06-30,159978.12920592178,174867.09286675637,30365.0,752.0,260000.0,2426
42,2002-09-30,174867.09286675637,161963.32436069974,29725.0,773.0,270000.0,2861
43,2002-12-31,172881.8977119783,162955.92193808872,33415.0,801.0,282000.0,2898
44,2003-03-31,172881.8977119783,173874.49528936727,36466.0,842.0,298000.0,2684
45,2003-06-30,172385.59892328386,174867.09286675637,37558.0,871.0,312000.0,3032
46,2003-09-30,189756.0565275908,174370.79407806182,39888.0,938.0,339000.0,3280
47,2003-12-31,199682.0323014803,181815.27590847912,39535.0,1000.0,370000.0,3270
48,2004-03-31,209608.00807537,187770.86137281288,36826.0,1041.0,387000.0,2882
49,2004-06-30,189756.0565275908,190748.6541049797,34217.0,1066.0,396000.0,3373
50,2004-09-30,202659.82503364724,199443.80888290715,30203.0,1091.0,413000.0,3296
51,2004-12-31,224496.97173620452,224496.97173620452,33732.0,1125.0,428790.0,3184
52,2005-03-31,249311.9111709285,224496.97173620452,36453.0,1180.0,452266.0,2910
53,2005-06-30,245341.5208613728,258245.28936742933,32703.0,1214.0,467792.0,3113
54,2005-09-30,262215.67967698514,253282.30148048443,32397.0,1251.0,484380.0,3072
55,2005-12-31,310852.9609690443,261719.3808882906,31076.0,1300.0,505745.0,3111
56,2006-03-31,287030.6191117092,279089.8384925976,30833.0,1324.0,519529.0,2835
57,2006-06-30,274126.85060565267,290008.411843876,31978.0,1337.0,525206.0,2892
58,2006-09-30,289015.81426648726,269163.86271870777,31562.0,1370.0,538479.0,3108
59,2006-12-31,293978.8021534319,293978.8021534319,34408.0,1418.0,559174.0,3167
60,2007-03-31,310852.9609690443,293978.8021534319,35737.0,1479.0,586557.0,2835
61,2007-06-30,313830.7537012112,328719.7173620457,31234.0,1520.0,605005.0,3095
62,2007-09-30,318793.74158815603,323756.7294751008,24137.0,1526.0,610834.0,3240
63,2007-12-31,328719.7173620457,303904.7779273216,25086.0,1531.0,613678.0,3214
64,2008-03-31,328719.7173620457,321275.23553162854,20339.0,1521.0,615796.0,2684
65,2008-06-30,307875.1682368775,308867.76581426646,16125.0,1453.0,591589.0,2634
66,2008-09-30,303904.7779273216,286038.0215343201,15839.0,1423.0,581549.0,2590
67,2008-12-31,318793.74158815603,325741.92462987883,15585.0,1395.0,568348.0,2295
68,2009-03-31,313830.7537012112,308867.76581426646,19161.0,1383.0,568231.0,2143
69,2009-06-30,313830.7537012112,313830.7537012112,21999.0,1407.0,578039.0,2198
70,2009-09-30,289015.81426648726,289015.81426648726,22136.0,1438.0,594447.0,2222
71,2009-12-31,318793.74158815603,338645.69313593535,20999.0,1468.0,605894.0,2340
72,2010-03-31,338645.69313593535,308867.76581426646,18635.0,1469.0,608658.0,2082
73,2010-06-30,286038.0215343201,308867.76581426646,17651.0,1455.0,603335.0,2403
74,2010-09-30,303904.7779273216,313830.7537012112,15660.0,1445.0,600851.0,2328
75,2010-12-31,299934.3876177657,313830.7537012112,16309.0,1444.0,601793.0,2215
76,2011-03-31,323756.7294751008,329216.0161507401,17131.0,1447.0,605236.0,2074
77,2011-06-30,328719.7173620457,284052.82637954224,19165.0,1452.0,602427.0,2155
78,2011-09-30,293978.8021534319,309860.36339165544,18797.0,1474.0,613309.0,2300
79,2011-12-31,287030.6191117092,313830.7537012112,20468.0,1477.0,614603.0,2475
80,2012-03-31,318793.74158815603,318793.74158815603,22725.0,1493.0,620637.0,2335
81,2012-06-30,298941.7900403768,289015.81426648726,23417.0,1510.0,629749.0,2525
82,2012-09-30,289015.81426648726,303904.7779273216,22074.0,1541.0,642153.0,2624
83,2012-12-31,303904.7779273216,285045.42395693134,24551.0,1572.0,655468.0,2886
84,2013-03-31,302912.1803499325,338645.69313593535,24736.0,1609.0,671586.0,2860
85,2013-06-30,303408.4791386271,303904.7779273216,25325.0,1645.0,688836.0,3012
86,2013-09-30,296956.59488559875,303408.4791386271,24605.0,1697.0,708146.0,3094
87,2013-12-31,351053.1628532974,303904.7779273216,23216.0,1715.0,718719.0,3241
88,2014-03-31,313830.7537012112,348075.3701211305,22365.0,1734.0,724665.0,3205
89,2014-06-30,298941.7900403768,338645.69313593535,21893.0,1749.0,735586.0,3343
90,2014-09-30,271149.05787348584,298743.270524899,21399.0,1778.0,744959.0,3403
91,2014-12-31,303904.7779273216,313830.7537012112,26546.0,1835.0,767986.0,3466
92,2015-03-31,328719.7173620457,331697.5100942126,26596.0,1892.0,791166.0,3373
93,2015-06-30,319290.04037685046,328719.7173620457,28832.0,1956.0,821359.0,3456
94,2015-09-30,343608.6810228801,323756.7294751008,30754.0,2045.0,862341.0,3613
95,2015-12-31,363460.6325706594,333682.70524899045,28939.0,2060.0,873190.0,3722
96,2016-03-31,353534.65679676976,353534.65679676976,29157.0,2136.0,905368.0,3751
97,2016-06-30,363460.6325706594,353534.65679676976,31840.0,2249.0,959850.0,3986
98,2016-09-30,386290.37685060565,361475.4374158815,27314.0,2333.0,1001785.0,4010
99,2016-12-31,414579.407806191,400186.7429340511,25919.0,2355.0,1013840.0,4017
100,2017-03-31,444357.33512786,418053.4993270524,23906.0,2391.0,1030945.0,3808
101,2017-06-30,427979.475100942,447831.4266487213,23961.0,2395.0,1042827.0,3833
102,2017-09-30,452794.4145356662,423016.4872139972,21403.0,2422.0,1051599.0,3978
103,2017-12-31,442868.4387617765,427979.475100942,23607.0,2449.0,1067373.0,3977
104,2018-03-31,457757.40242261096,452794.4145356662,24035.0,2481.0,1079470.0,3754
105,2018-06-30,452794.4145356662,476616.7563930013,24894.0,2481.0,1090523.0,3800
106,2018-09-30,507387.2812920592,460735.1951547778,22678.0,2495.0,1105095.0,3859
107,2018-12-31,482572.3418573351,507387.2812920592,24653.0,2517.0,1118115.0,3937
108,2019-03-31,504409.4885598923,502920.5921938088,22434.0,2526.0,1126956.0,3917
109,2019-06-30,477609.3539703902,467683.3781965006,24198.0,2518.0,1131286.0,4002
110,2019-09-30,480587.1467025571,508379.878869448,23499.0,2565.0,1157412.0,4066
111,2019-12-31,541135.5989232839,507387.2812920592,27094.0,2633.0,1188262.0,4179
112,2020-03-31,561980.1480484521,561980.1480484521,23637.0,2722.0,1227951.0,3695
113,2020-06-30,530217.0255720052,532202.2207267832,17774.0,2696.0,1227900.0,3109
114,2020-09-30,552054.1722745625,598706.2584118438,31901.0,2839.0,1280867.0,4340
115,2020-12-31,673647.3755047106,590765.4777927321,37471.0,3081.0,1385674.0,4543
116,2021-03-31,710869.7846567967,660247.3082099595,29508.0,3379.0,1512986.0,4299
117,2021-06-30,700943.808882907,681091.8573351278,27819.0,3495.0,1591524.0,4326
118,2021-09-30,676128.8694481829,651313.9300134588,22446.0,3704.0,1663058.0,4028
119,2021-12-31,760499.6635262449,750573.6877523552,27820.0,3920.0,1763125.0,4390
120,2022-03-31,827500.0,780351.6150740241,18825.0,3846.0,1723371.0,4055
121,2022-06-30,710869.7846567967,730721.736204576,17675.0,3681.0,1680923.0,4149
122,2022-09-30,725758.7483176312,643373.1493943472,17145.0,3548.0,1630391.0,4456
123,2022-12-31,737669.9192462987,730225.4374158814,16433.0,3484.0,1608367.0,4244
124,2023-03-31,710869.7846567967,710869.7846567967,15587.0,3382.0,1573547.0,3868
125,2023-06-30,691017.8331090175,715832.7725437415,18602.0,3349.0,1563341.0,4016
126,2023-09-30,700943.808882907,671165.8815612381,18589.0,3404.0,1590955.0,4138
127,2023-12-31,631461.9784656796,676128.8694481829,19975.0,3464.0,1621444.0,4034
128,2024-03-31,700943.808882907,750573.6877523552,18603.0,3467.0,1630738.0,3677
129,2024-06-30,631461.9784656796,641387.9542395693,,,,3785
